adm3_pcode,adm3_name,adm1_name,oblast_en,center_lon,center_lat,occupied_mar2022,dist_km,n_events_feb_apr_2022
UA7406005,Ponornytska,Chernihivska,Chernihiv,32.906227789788325,51.74980594359124,0,6.394264077382759,0
UA7406007,Semenivska,Chernihivska,Chernihiv,32.621052991361196,52.14250068993707,0,16.664348513469726,0
UA7408001,Varvynska,Chernihivska,Chernihiv,32.74609994405416,50.45045190797416,0,17.469478966642058,0
UA7408003,Ichnianska,Chernihivska,Chernihiv,32.36016626610625,50.87965551786093,1,-15.126810429355825,1
UA7408005,Ladanska,Chernihivska,Chernihiv,32.593323013564444,50.54672919135732,0,2.8296387633435973,0
UA7408007,Lynovytska,Chernihivska,Chernihiv,32.39218322597625,50.45956305484925,0,6.643566505185275,0
UA7408009,Malodivytska,Chernihivska,Chernihiv,32.160555234881436,50.69205375613704,1,-19.199646397169243,1
UA7408011,Parafiivska,Chernihivska,Chernihiv,32.6968853737322,50.8578141828987,0,5.700275918100769,0
UA7408013,Prylutska,Chernihivska,Chernihiv,32.38800115095601,50.5900215139751,1,-4.785128134087051,6
UA7408015,Sribnianska,Chernihivska,Chernihiv,32.8918877499492,50.64289639669333,0,8.106924672487956,0
UA7408017,Sukhopolovianska,Chernihivska,Chernihiv,32.305009053243744,50.62205736600675,1,-9.606190930667033,3
UA7408019,Talalaivska,Chernihivska,Chernihiv,33.04255970655726,50.828628762018894,1,-11.687322143675276,1
UA7408021,Yablunivska,Chernihivska,Chernihiv,32.16266143380813,50.44676391837043,0,5.891533012439278,0
UA7410001,Bereznianska,Chernihivska,Chernihiv,31.74736567820555,51.569245061293984,0,4.021083898982867,0
UA7410003,Honcharivska,Chernihivska,Chernihiv,30.87453791186389,51.25629816910946,0,6.791518232803311,0
UA7410005,Horodnianska,Chernihivska,Chernihiv,31.524725552140158,51.95485978839451,1,-11.317223695424866,8
UA7410007,Desnianska,Chernihivska,Chernihiv,30.69784296805956,51.07313976425046,1,-6.05486609198527,2
UA7410009,Dobrianska,Chernihivska,Chernihiv,31.085605691661804,51.98982199528485,0,8.752880256935141,0
UA7410011,Ivanivska,Chernihivska,Chernihiv,31.30764298126403,51.353856600879645,1,-9.665255575784657,17
UA7410013,Kyinska,Chernihivska,Chernihiv,31.19108569204322,51.4244612698084,1,-5.918932166760926,7
UA7410015,Kyselivska,Chernihivska,Chernihiv,31.44720980053621,51.57292481830235,1,-7.212245055917077,3
UA7410017,Kiptivska,Chernihivska,Chernihiv,31.15586602554871,51.134736365007704,0,7.916956243784718,0
UA7410019,Kozeletska,Chernihivska,Chernihiv,31.139259818982048,50.89646245030379,1,-11.793372418399116,3
UA7410021,Kulykivska,Chernihivska,Chernihiv,31.671788806670357,51.35945769423465,1,-9.428519907063219,1
UA7410023,Liubetska,Chernihivska,Chernihiv,30.72634027066419,51.63231246059824,1,-32.59435043832073,3
UA7410025,Mykhailo-Kotsiubynska,Chernihivska,Chernihiv,30.865160110090528,51.4429536947616,1,-9.969306916224037,6
UA7410027,Novobilouska,Chernihivska,Chernihiv,31.146995813747544,51.594496114697364,1,-15.309057087074471,2
UA7410029,Olyshivska,Chernihivska,Chernihiv,31.338925613780823,51.23135043042912,1,-5.325487830568781,1
UA7410031,Osterska,Chernihivska,Chernihiv,30.907673931098866,50.91822860816098,1,-15.821055524753143,1
UA7410033,Ripkynska,Chernihivska,Chernihiv,31.010312171736885,51.79884997927973,1,-9.563872721645792,4
UA7410035,Sednivska,Chernihivska,Chernihiv,31.58122141836053,51.65662956044422,1,-1.1907066516946574,3
UA7410037,Tupychivska,Chernihivska,Chernihiv,31.421653247320883,51.74942107154713,0,4.543603899464119,0
UA7410039,Chernihivska,Chernihivska,Chernihiv,31.286524250099504,51.49685298107021,1,-15.536776981910583,82
