oblast,month,market_type,segment,class_label,room_count,median_uah,median_m2_uah,median_usd,median_m2_usd,listing_count,source
Sumy,2024-04,rental,room_count,,1,5500,145,143.5843884610364,3.7785365384483267,122,lun_ua_api_flat_history_ctype2
Sumy,2024-01,rental,room_count,,1,4550,131,118.7834486359483,3.4083162917518743,98,lun_ua_api_flat_history_ctype2
Sumy,2024-07,rental,room_count,,1,5500,157,131.42174432497012,3.744239631336405,98,lun_ua_api_flat_history_ctype2
Sumy,2023-08,rental,room_count,,2,5000,105,129.7016861219196,2.714656290531777,82,lun_ua_api_flat_history_ctype2
Sumy,2023-11,rental,room_count,,1,4500,130,117.47813601357525,3.393812818169952,137,lun_ua_api_flat_history_ctype2
Sumy,2024-05,rental,room_count,,1,6000,160,156.637514684767,4.177000391593786,96,lun_ua_api_flat_history_ctype2
Sumy,2023-07,rental,room_count,,1,3500,100,94.08602150537634,2.6881720430107525,115,lun_ua_api_flat_history_ctype2
Sumy,2023-09,rental,room_count,,1,5000,134,130.53126223730584,3.5021537658269155,105,lun_ua_api_flat_history_ctype2
Sumy,2024-06,rental,room_count,,1,6000,158,146.15103532277712,3.852009744214373,90,lun_ua_api_flat_history_ctype2
Sumy,2023-10,rental,room_count,,2,5000,106,130.53126223730584,2.777183135360919,83,lun_ua_api_flat_history_ctype2
Sumy,2023-12,rental,room_count,,1,4500,131,117.47813601357525,3.4083162917518743,121,lun_ua_api_flat_history_ctype2
Sumy,2023-07,rental,room_count,,2,4500,95,120.96774193548386,2.5602150537634407,55,lun_ua_api_flat_history_ctype2
Sumy,2023-05,rental,room_count,,1,3000,91,80.4289544235925,2.437265415549598,122,lun_ua_api_flat_history_ctype2
Sumy,2023-06,rental,room_count,,1,3000,93,80.53691275167785,2.497181208053691,211,lun_ua_api_flat_history_ctype2
Chernihiv,2024-11,primary_sale,room_count,,3,2374050,30338,57000,728.395061728395,327,lun_ua_api_flat_history_ctype1
Chernihiv,2024-01,primary_sale,room_count,,1,1221930,29295,31900,764.7730325006715,373,lun_ua_api_flat_history_ctype1
Chernihiv,2024-10,primary_sale,room_count,,2,1744260,31246,42000,752.3758757234237,398,lun_ua_api_flat_history_ctype1
Chernihiv,2024-12,primary_sale,room_count,,2,1861200,32000,44000,756.501182033097,337,lun_ua_api_flat_history_ctype1
Chernihiv,2023-08,primary_sale,room_count,,1,1117950,28207,29000.000000000004,731.6950713359274,446,lun_ua_api_flat_history_ctype1
Chernihiv,2023-11,primary_sale,room_count,,3,2070750,26926,54059.52225558021,702.9374755253883,196,lun_ua_api_flat_history_ctype1
Chernihiv,2024-01,primary_sale,room_count,,2,1723725,29000,45000,757.0813209763738,287,lun_ua_api_flat_history_ctype1
Chernihiv,2024-03,primary_sale,room_count,,2,1723725,29340,45000,765.9574468085107,395,lun_ua_api_flat_history_ctype1
Chernihiv,2024-10,primary_sale,room_count,,1,1268850,31907,30552.612569227065,768.2926829268292,609,lun_ua_api_flat_history_ctype1
